additional_properties,id,name,type,tags,kind,billing_account_id,billing_account_name,billing_period_start_date,billing_period_end_date,billing_profile_id,billing_profile_name,account_owner_id,account_name,subscription_id,subscription_name,date,product,part_number,meter_id,meter_details,quantity,effective_price,cost,unit_price,billing_currency,resource_location,consumed_service,resource_id,resource_name,service_info1,service_info2,additional_info,invoice_section,cost_center,resource_group,reservation_id,reservation_name,product_order_id,product_order_name,offer_id,is_azure_credit_eligible,term,publisher_name,publisher_type,plan_name,charge_type,frequency,UsageType,ImageType,ServiceType,VMName,VMProperties,VCPUs,CPUs,StorageService,ResourceType,PipelineType,DataTransferDirection,DataCenter,NetworkBucket,ContainerId,CRPVMId,UsageResourceKind,EmittingService,AHB,vCores,SLO,UniqueResourceId,ResourceCategory
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/6f223d77-a865-d098-0634-4570d32aac25,6f223d77-a865-d098-0634-4570d32aac25,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-12,None,None,3e3981ec-a567-4790-9b06-484295b9b3dc,None,0.0022,0.003626,7.9772e-06,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csb10037ffe9f617530,csb10037ffe9f617530,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/2b263e0e-7103-8328-c302-d919c2d02a9a,2b263e0e-7103-8328-c302-d919c2d02a9a,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-12,None,None,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,None,0.16128,0.050598,0.00816044544,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/shellondemand,shellondemand,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/57aa50cd-4879-8816-5f77-30ebaa30b5e2,57aa50cd-4879-8816-5f77-30ebaa30b5e2,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-11,None,None,8a752c6d-6098-4f15-8828-3716ba46d524,None,0.0007,0.016866,1.18062e-05,0.0,EUR,FR Central,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/veeambackupforo365/providers/Microsoft.Storage/storageAccounts/storageaccountveeamo365,storageaccountveeamo365,None,None,"{  ""StorageService"": ""Blob""}",None,None,veeambackupforo365,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,Blob,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/9ff36831-b421-1ce4-9bce-86b305a4fa12,9ff36831-b421-1ce4-9bce-86b305a4fa12,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-03,None,None,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,None,0.001192,0.016866,2.0104272e-05,0.0,EUR,FR Central,Microsoft.Compute,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/VEEAMBACKUPFORO365/providers/Microsoft.Compute/virtualMachines/VBO365Server,VBO365Server,None,None,"{  ""ResourceType"": ""Bandwidth"",  ""UsageResourceKind"": ""DataTrOut:Windows_Iaas_Software_Store|Standard_D4s_v3|c7a1714f-79f5-4727-8d40-65170c14f0cb|7aac7587-3d84-4991-91af-216ed612a0e9:Windows:Running"",  ""DataCenter"": ""PAR20"",  ""NetworkBucket"": ""DB3"",  ""PipelineType"": ""v2_late""}",None,None,VEEAMBACKUPFORO365,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,Bandwidth,v2_late,,PAR20,DB3,,,DataTrOut:Windows_Iaas_Software_Store|Standard_D4s_v3|c7a1714f-79f5-4727-8d40-65170c14f0cb|7aac7587-3d84-4991-91af-216ed612a0e9:Windows:Running,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/eca35746-6156-d111-182a-0353d427a6fd,eca35746-6156-d111-182a-0353d427a6fd,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-03,None,None,beb1457b-1ab8-4e38-8021-bf7e39b1014b,None,7.5e-05,0.042165,3.162375e-06,0.0,EUR,Intercontinental,Microsoft.Compute,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/VEEAMBACKUPFORO365/providers/Microsoft.Compute/virtualMachines/VBO365Server,VBO365Server,None,None,"{  ""ResourceType"": ""Bandwidth"",  ""UsageResourceKind"": ""DataTrOut:Windows_Iaas_Software_Store|Standard_D4s_v3|c7a1714f-79f5-4727-8d40-65170c14f0cb|7aac7587-3d84-4991-91af-216ed612a0e9:Windows:Running"",  ""DataCenter"": ""PAR20"",  ""NetworkBucket"": ""DM1"",  ""PipelineType"": ""v2_late""}",None,None,VEEAMBACKUPFORO365,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,Bandwidth,v2_late,,PAR20,DM1,,,DataTrOut:Windows_Iaas_Software_Store|Standard_D4s_v3|c7a1714f-79f5-4727-8d40-65170c14f0cb|7aac7587-3d84-4991-91af-216ed612a0e9:Windows:Running,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/ba3d7861-a7ec-64c9-f4c6-9e9cb91a8351,ba3d7861-a7ec-64c9-f4c6-9e9cb91a8351,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-02,None,None,3e3981ec-a567-4790-9b06-484295b9b3dc,None,0.0007,0.003626,2.5382e-06,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csb10037ffe9f617530,csb10037ffe9f617530,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/b674f80b-e409-f9ea-3e58-4d77505dc901,b674f80b-e409-f9ea-3e58-4d77505dc901,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-01,None,None,ce957933-8287-4f8b-83ee-53a5cbe056d9,None,22.446,0.001686,0.037843956,0.0,EUR,FR Central,Microsoft.Compute,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/VEEAMBACKUPFORO365/providers/Microsoft.Compute/disks/VBO365Server_OsDisk_1_6e45bb8652c04c95a49a440ff78014bd,VBO365Server_OsDisk_1_6e45bb8652c04c95a49a440ff78014bd,None,None,None,None,None,VEEAMBACKUPFORO365,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/6a8699d0-3bc9-e42d-88a6-b17136de0f19,6a8699d0-3bc9-e42d-88a6-b17136de0f19,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-02,None,None,3e3981ec-a567-4790-9b06-484295b9b3dc,None,0.0007,0.003626,2.5382e-06,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/shellondemand,shellondemand,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/3bbd1f35-7e10-eea7-4fb0-02a7dc316aa0,3bbd1f35-7e10-eea7-4fb0-02a7dc316aa0,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-01,None,None,10e5ee74-8fd6-4972-909f-65a83f92f0ce,None,0.00018,0.016528,2.97504e-06,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csb10037ffe9f617530,csb10037ffe9f617530,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/dd85fe31-0c1f-eb9c-5ad1-72029280cfb5,dd85fe31-0c1f-eb9c-5ad1-72029280cfb5,Microsoft.Consumption/usageDetails,{'backup': 'o365'},legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-11,None,None,7d9d7fc3-33d0-422c-9d88-5e5ef470dac1,None,0.0006,0.003963,2.3778e-06,0.0,EUR,FR Central,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/VeeamBackupforO365/providers/Microsoft.Storage/storageAccounts/storageaccountveeamo365,storageaccountveeamo365,None,None,None,None,None,VeeamBackupforO365,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
