identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/alarmType,product/capacitystatus,product/clockSpeed,product/currentGeneration,product/databaseEngine,product/dedicatedEbsThroughput,product/deploymentOption,product/ecu,product/engineCode,product/enhancedNetworkingSupported,product/fromLocation,product/fromLocationType,product/group,product/groupDescription,product/instanceFamily,product/instanceType,product/instanceTypeFamily,product/intelAvx2Available,product/intelAvxAvailable,product/intelTurboAvailable,product/licenseModel,product/location,product/locationType,product/logsDestination,product/maxIopsBurstPerformance,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/memory,product/minVolumeSize,product/networkPerformance,product/normalizationSizeFactor,product/operatingSystem,product/operation,product/physicalProcessor,product/platousagetype,product/preInstalledSw,product/processorArchitecture,product/processorFeatures,product/productFamily,product/region,product/servicecode,product/servicename,product/sku,product/storage,product/storageMedia,product/tenancy,product/tiertype,product/toLocation,product/toLocationType,product/transferType,product/usagetype,product/vcpu,product/version,product/volumeApiName,product/volumeType,pricing/RateCode,pricing/RateId,pricing/currency,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/NumberOfReservations,reservation/RecurringFeeForUsage,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue,savingsPlan/TotalCommitmentToDate,savingsPlan/SavingsPlanARN,savingsPlan/SavingsPlanRate,savingsPlan/UsedCommitment,savingsPlan/SavingsPlanEffectiveCost,savingsPlan/AmortizedUpfrontCommitmentForBillingPeriod,savingsPlan/RecurringCommitmentForBillingPeriod,resourceTags/aws:createdBy,resourceTags/user:Name,costCategory/All_Account_EC2_Costs,costCategory/DM_Account_All_FinOps_Formation_Costs,costCategory/MyTestCostCategorie
rlv3fs7f2nsxyauzeibu6gxhum4vhdvhexq4nkrjep3terth4feq,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,841508528727,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,AmazonS3,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonS3,VAT,AWS EMEA SARL,Amazon Simple Storage Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp22dxjeckqi4benfob3birggtkcczathrbyh7si3uncp4ecywxa,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,AmazonS3,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonS3,VAT,AWS EMEA SARL,Amazon Simple Storage Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2qwd4uosd5dqm442yp7m2w4eeg4ttc6xpcy2p3bkgvpj26hk4uba,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,AmazonCloudWatch,,,,,1.0000000000,,,USD,,0.0800000000,,0.0800000000,Tax for product code AmazonCloudWatch,VAT,AWS EMEA SARL,AmazonCloudWatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsldc34q4dw5oux6gn73c5cwl2za6mddybbc6hfcjvtb7egrejwq,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,AWSELB,,,,,1.0000000000,,,USD,,1.5800000000,,1.5800000000,Tax for product code AWSELB,VAT,AWS EMEA SARL,Elastic Load Balancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ywahyablyryrtw2kdevvrarwh2nojbkjw5fcanr3gwaf5a4kzv4a,2021-05-01T00:00:00Z/2021-05-01T01:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Usage,2021-05-01T00:00:00Z,2021-05-01T01:00:00Z,AmazonLightsail,EU-DiskUsage,Disk,,arn:aws:lightsail:eu-west-1:157396038624:Disk/9171d61f-6b4a-4a32-a228-d7848ce17858,0.0107526882,,,USD,0.1000000000,0.0010752688,0.1000000000,0.0010752688,$0.10 / GB-Month of attached block storage - EU (Ireland),,AWS EMEA SARL,Amazon Lightsail,,,,,,,,,,,,,Lightsail Block Storage,Amount of Lightsail block storage disk usage in GB-Month,,,,,,,,EU (Ireland),AWS Region,,,,,,,,,,,,,,,,,Lightsail Storage,eu-west-1,AmazonLightsail,Amazon Lightsail,28GDY5X5NYE74E9Q,1GB,,,,,,,EU-DiskUsage,,,,,28GDY5X5NYE74E9Q.JRTCKXETXF.6YS6EN2CT7,2432207044,USD,0.0010752688,0.1000000000,OnDemand,GB-Mo,,,,,,,,,,1474715294,,,,,,,,,,,,,,,,,,,,
ywahyablyryrtw2kdevvrarwh2nojbkjw5fcanr3gwaf5a4kzv4a,2021-05-01T01:00:00Z/2021-05-01T02:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Usage,2021-05-01T01:00:00Z,2021-05-01T02:00:00Z,AmazonLightsail,EU-DiskUsage,Disk,,arn:aws:lightsail:eu-west-1:157396038624:Disk/9171d61f-6b4a-4a32-a228-d7848ce17858,0.0107526882,,,USD,0.1000000000,0.0010752688,0.1000000000,0.0010752688,$0.10 / GB-Month of attached block storage - EU (Ireland),,AWS EMEA SARL,Amazon Lightsail,,,,,,,,,,,,,Lightsail Block Storage,Amount of Lightsail block storage disk usage in GB-Month,,,,,,,,EU (Ireland),AWS Region,,,,,,,,,,,,,,,,,Lightsail Storage,eu-west-1,AmazonLightsail,Amazon Lightsail,28GDY5X5NYE74E9Q,1GB,,,,,,,EU-DiskUsage,,,,,28GDY5X5NYE74E9Q.JRTCKXETXF.6YS6EN2CT7,2432207044,USD,0.0010752688,0.1000000000,OnDemand,GB-Mo,,,,,,,,,,1474715294,,,,,,,,,,,,,,,,,,,,
ywahyablyryrtw2kdevvrarwh2nojbkjw5fcanr3gwaf5a4kzv4a,2021-05-01T02:00:00Z/2021-05-01T03:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Usage,2021-05-01T02:00:00Z,2021-05-01T03:00:00Z,AmazonLightsail,EU-DiskUsage,Disk,,arn:aws:lightsail:eu-west-1:157396038624:Disk/9171d61f-6b4a-4a32-a228-d7848ce17858,0.0107526882,,,USD,0.1000000000,0.0010752688,0.1000000000,0.0010752688,$0.10 / GB-Month of attached block storage - EU (Ireland),,AWS EMEA SARL,Amazon Lightsail,,,,,,,,,,,,,Lightsail Block Storage,Amount of Lightsail block storage disk usage in GB-Month,,,,,,,,EU (Ireland),AWS Region,,,,,,,,,,,,,,,,,Lightsail Storage,eu-west-1,AmazonLightsail,Amazon Lightsail,28GDY5X5NYE74E9Q,1GB,,,,,,,EU-DiskUsage,,,,,28GDY5X5NYE74E9Q.JRTCKXETXF.6YS6EN2CT7,2432207044,USD,0.0010752688,0.1000000000,OnDemand,GB-Mo,,,,,,,,,,1474715294,,,,,,,,,,,,,,,,,,,,
ywahyablyryrtw2kdevvrarwh2nojbkjw5fcanr3gwaf5a4kzv4a,2021-05-01T03:00:00Z/2021-05-01T04:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Usage,2021-05-01T03:00:00Z,2021-05-01T04:00:00Z,AmazonLightsail,EU-DiskUsage,Disk,,arn:aws:lightsail:eu-west-1:157396038624:Disk/9171d61f-6b4a-4a32-a228-d7848ce17858,0.0107526882,,,USD,0.1000000000,0.0010752688,0.1000000000,0.0010752688,$0.10 / GB-Month of attached block storage - EU (Ireland),,AWS EMEA SARL,Amazon Lightsail,,,,,,,,,,,,,Lightsail Block Storage,Amount of Lightsail block storage disk usage in GB-Month,,,,,,,,EU (Ireland),AWS Region,,,,,,,,,,,,,,,,,Lightsail Storage,eu-west-1,AmazonLightsail,Amazon Lightsail,28GDY5X5NYE74E9Q,1GB,,,,,,,EU-DiskUsage,,,,,28GDY5X5NYE74E9Q.JRTCKXETXF.6YS6EN2CT7,2432207044,USD,0.0010752688,0.1000000000,OnDemand,GB-Mo,,,,,,,,,,1474715294,,,,,,,,,,,,,,,,,,,,
ywahyablyryrtw2kdevvrarwh2nojbkjw5fcanr3gwaf5a4kzv4a,2021-05-01T04:00:00Z/2021-05-01T05:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Usage,2021-05-01T04:00:00Z,2021-05-01T05:00:00Z,AmazonLightsail,EU-DiskUsage,Disk,,arn:aws:lightsail:eu-west-1:157396038624:Disk/9171d61f-6b4a-4a32-a228-d7848ce17858,0.0107526882,,,USD,0.1000000000,0.0010752688,0.1000000000,0.0010752688,$0.10 / GB-Month of attached block storage - EU (Ireland),,AWS EMEA SARL,Amazon Lightsail,,,,,,,,,,,,,Lightsail Block Storage,Amount of Lightsail block storage disk usage in GB-Month,,,,,,,,EU (Ireland),AWS Region,,,,,,,,,,,,,,,,,Lightsail Storage,eu-west-1,AmazonLightsail,Amazon Lightsail,28GDY5X5NYE74E9Q,1GB,,,,,,,EU-DiskUsage,,,,,28GDY5X5NYE74E9Q.JRTCKXETXF.6YS6EN2CT7,2432207044,USD,0.0010752688,0.1000000000,OnDemand,GB-Mo,,,,,,,,,,1474715294,,,,,,,,,,,,,,,,,,,,
ywahyablyryrtw2kdevvrarwh2nojbkjw5fcanr3gwaf5a4kzv4a,2021-05-01T05:00:00Z/2021-05-01T06:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Usage,2021-05-01T05:00:00Z,2021-05-01T06:00:00Z,AmazonLightsail,EU-DiskUsage,Disk,,arn:aws:lightsail:eu-west-1:157396038624:Disk/9171d61f-6b4a-4a32-a228-d7848ce17858,0.0107526882,,,USD,0.1000000000,0.0010752688,0.1000000000,0.0010752688,$0.10 / GB-Month of attached block storage - EU (Ireland),,AWS EMEA SARL,Amazon Lightsail,,,,,,,,,,,,,Lightsail Block Storage,Amount of Lightsail block storage disk usage in GB-Month,,,,,,,,EU (Ireland),AWS Region,,,,,,,,,,,,,,,,,Lightsail Storage,eu-west-1,AmazonLightsail,Amazon Lightsail,28GDY5X5NYE74E9Q,1GB,,,,,,,EU-DiskUsage,,,,,28GDY5X5NYE74E9Q.JRTCKXETXF.6YS6EN2CT7,2432207044,USD,0.0010752688,0.1000000000,OnDemand,GB-Mo,,,,,,,,,,1474715294,,,,,,,,,,,,,,,,,,,,
