additional_properties,id,name,type,tags,kind,billing_account_id,billing_account_name,billing_period_start_date,billing_period_end_date,billing_profile_id,billing_profile_name,account_owner_id,account_name,subscription_id,subscription_name,date,product,part_number,meter_id,meter_details,quantity,effective_price,cost,unit_price,billing_currency,resource_location,consumed_service,resource_id,resource_name,service_info1,service_info2,additional_info,invoice_section,cost_center,resource_group,reservation_id,reservation_name,product_order_id,product_order_name,offer_id,is_azure_credit_eligible,term,publisher_name,publisher_type,plan_name,charge_type,frequency,UsageType,ImageType,ServiceType,VMName,VMProperties,VCPUs,CPUs,StorageService,ResourceType,PipelineType,DataTransferDirection,DataCenter,NetworkBucket,ContainerId,CRPVMId,UsageResourceKind,EmittingService,AHB,vCores,SLO,UniqueResourceId,ResourceCategory
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/d25df196-244f-2df2-820b-9a67bd20ec15,d25df196-244f-2df2-820b-9a67bd20ec15,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-04-30,None,None,8a752c6d-6098-4f15-8828-3716ba46d524,None,0.0006,0.016866,1.01196e-05,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csb1003bffda469397b,csb1003bffda469397b,None,None,"{  ""StorageService"": ""Blob""}",None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,Blob,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/2727c4cc-5f43-ce83-626a-666064a79f59,2727c4cc-5f43-ce83-626a-666064a79f59,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-04-30,None,None,9c150bf9-2bad-430e-a53c-c213804f49ef,None,25.0,0.004216,0.1054,0.0,EUR,EU West,Microsoft.Network,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/wvd-lab/providers/Microsoft.Network/publicIPAddresses/aadds-a62b1af9a4e14dff8435a539bd5bffa9-pip,aadds-a62b1af9a4e14dff8435a539bd5bffa9-pip,None,None,None,None,None,wvd-lab,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/e85fb4b1-40f0-4f36-132e-098b8fbf237c,e85fb4b1-40f0-4f36-132e-098b8fbf237c,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-04-29,None,None,8a752c6d-6098-4f15-8828-3716ba46d524,None,0.0006,0.016866,1.01196e-05,0.0,EUR,FR Central,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/veeambackupforo365/providers/Microsoft.Storage/storageAccounts/storageaccountveeamo365,storageaccountveeamo365,None,None,"{  ""StorageService"": ""Blob""}",None,None,veeambackupforo365,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,Blob,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/f82787cc-5779-783a-decb-31e2283a4da5,f82787cc-5779-783a-decb-31e2283a4da5,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-04-28,None,None,559511c2-b12c-485e-aff5-df87cb96db89,None,0.033336,8.905248,0.296865347328,0.0,EUR,FR Central,Microsoft.Compute,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/VEEAMBACKUPFORO365/providers/Microsoft.Compute/disks/VBO365Server_OsDisk_1_6e45bb8652c04c95a49a440ff78014bd,VBO365Server_OsDisk_1_6e45bb8652c04c95a49a440ff78014bd,None,None,None,None,None,VEEAMBACKUPFORO365,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/9fea59ed-de41-fd81-acae-140716364160,9fea59ed-de41-fd81-acae-140716364160,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-04-28,None,None,3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9,None,0.00012,0.037948,4.55376e-06,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csb1003bffda469397b,csb1003bffda469397b,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/215d8c85-85c2-7567-aae4-7b267968aa54,215d8c85-85c2-7567-aae4-7b267968aa54,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-04-29,None,None,8a752c6d-6098-4f15-8828-3716ba46d524,None,0.0006,0.016866,1.01196e-05,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/shellondemand,shellondemand,None,None,"{  ""StorageService"": ""Blob""}",None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,Blob,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/ca7f7211-8881-b6dc-2d1f-3c261b7f9a76,ca7f7211-8881-b6dc-2d1f-3c261b7f9a76,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-04-29,None,None,01e87068-31ae-4433-8df8-2f5e38bd7f5d,None,0.00061,0.0,0.0,0.0,EUR,Intercontinental,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csb10037ffe9f617530,csb10037ffe9f617530,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/239cb391-48ee-fa72-97c4-8f126780a6a6,239cb391-48ee-fa72-97c4-8f126780a6a6,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-04-30,None,None,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,None,0.0158,0.000303,4.7874e-06,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/shellondemand,shellondemand,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/99751887-8103-944e-942d-4780a5d6a370,99751887-8103-944e-942d-4780a5d6a370,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-04-30,None,None,beb1457b-1ab8-4e38-8021-bf7e39b1014b,None,1e-06,0.042165,4.2165e-08,0.0,EUR,Intercontinental,Microsoft.Compute,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/VEEAMBACKUPFORO365/providers/Microsoft.Compute/virtualMachines/VBO365Server,VBO365Server,None,None,"{  ""ResourceType"": ""Bandwidth"",  ""UsageResourceKind"": ""DataTrOut:Windows_Iaas_Software_Store|Standard_D4s_v3|c7a1714f-79f5-4727-8d40-65170c14f0cb|7aac7587-3d84-4991-91af-216ed612a0e9:Windows:Running"",  ""DataCenter"": ""PAR20"",  ""NetworkBucket"": ""SN1"",  ""PipelineType"": ""v2_late""}",None,None,VEEAMBACKUPFORO365,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,Bandwidth,v2_late,,PAR20,SN1,,,DataTrOut:Windows_Iaas_Software_Store|Standard_D4s_v3|c7a1714f-79f5-4727-8d40-65170c14f0cb|7aac7587-3d84-4991-91af-216ed612a0e9:Windows:Running,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202105/providers/Microsoft.Consumption/usageDetails/dbe8eb6d-ec5b-5358-83ba-fc0bcf907839,dbe8eb6d-ec5b-5358-83ba-fc0bcf907839,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-04-19,2021-05-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-04-29,None,None,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,None,0.0146,0.000303,4.4238e-06,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/shellondemand,shellondemand,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
